Azonosító,Ország,Pályanév,Dártum
1,Bahrein,"International Circuit, Sakhir",2022.03.20
2,Szaúd-arábia,Jeddah Corniche Circuit,2022.03.27
3,Ausztrália,Albert Park Circuit,2022.04.10
4,Olaszország,Imola Circuit,2022.04.24
5,Egyesült Államok,Miami International Autodrome,2022.05.08
6,Spanyolország,Circuit de Barcelona-Catalunya,2022.05.22
7,Monacó,Circuit de Monaco,2022.05.29
8,Azerbajdzsán,Azerbaijan Baku City Circuit,2022.06.12
9,Kanada,Canada Circuit Gilles Villeneuve,2022.06.19
10,Nagy-Britannia,Silverstone Circuit,2022.07.03
11,Ausztria,Red Bull Ring,2022.07.10
12,Franciaország,"Circuit Paul Ricard, Le Castellet",2022.07.24
13,Magyarország,Hungaroring,2022.07.31
14,Belgium,Circuit de Spa-Francorchamps,2022.08.28
15,Hollandia,Circuit Zandvoort,2022.09.09
16,Olaszország,Monza Circuit,2022.09.11
17,Szingapúr,Marina Bay Street Circuit,2022.10.02
18,Japán ,Suzuka International Racing Course,2022.10.09
19,Egyesült Államok,United States Circuit of the Americas,2022.10.23
20,Mexikó,Autódromo Hermanos Rodríguez,2022.10.30
21,Brazilía,Interlagos Circuit,2022.11.13
22,Abu Dzabi ,Yas Marina Circuit,2022.11.20
