Rajtszám,Versenyzok,Konstruktor,Futamok,Gyozelem,Debutalas
44,Lewis Hamilton,Mercedes,290,103,2007.03.18
63, George Russell,Mercedes,62,0,2019.03.17
1,Max Verstappen,Red Bull,143,20,2015.03.15
11,Sergio Pérez,Red Bull,219,2,2011.03.27
16,Charles Leclerc,Ferrari,83,3,2018.03.25
55,Carlos Sainz Jr.,Ferrari,143,0,2015.03.15
3,Daniel Ricciardo,McLaren-Mercedes,212,8,2011.07.11
4,Lando Norris,McLaren-Mercedes,62,0,2019.03.17
14,Fernando Alonso,Alpine-Renault,338,32,2001.03.04
31,Esteban Ocon,Alpine-Renault,91,1,2016.08.28
10,Pierre Gasly,AlphaTauri-Red Bull,88,1,2017.10.01
22,Cunoda Júki,AlphaTauri-Red Bull,24,0,2021.03.28
5,Sebastian Vettel,Aston Martin-Mercedes,280,53,2007.06.17
18,Lance Stroll,Aston Martin-Mercedes,103,0,2017.03.27
6,Nicholas Latifi,Williams-Mercedes,41,0,2020.07.05
23,Alexander Albon,Williams-Mercedes,40,0,2019.03.19
24,Csou Kuan-jü,Alfa Romeo-Ferrari,2,0,2022.03.20
77,Valtteri Bottas,Alfa Romeo-Ferrari,181,10,2013.03.17
47,Mick Schumacher,Haas-Ferrari,24,0,2021.03.28
20,Kevin Magnussen,Haas-Ferrari,122,0,2014.03.16
